ODA/PALLFNF_INDEX,All Commodity Price Index
ODA/ALB_PCPIE,"Albania Inflation Index, End of Period Consumer Prices"
ODA/ALB_LUR,"Albania Unemployment Rate, % of Total Labor Force"
ODA/ALB_LP,"Albania Population, Millions"
ODA/ALB_GGR,"Albania General Government Revenue, USD Billions"
ODA/ALB_GGR_NGDP,"Albania General Government Revenue, % of GDP"
ODA/ALB_GGX,"Albania General Government Total Expenditure, USD Billions"
ODA/ALB_GGX_NGDP,"Albania General Government Total Expenditure, % of GDP"
ODA/ALB_GGXCNL,"Albania General Government Net Lending/Borrowing, USD Billions"
ODA/ALB_GGXCNL_NGDP,"Albania General Government Net Lending/Borrowing, % of GDP"
ODA/ALB_GGXONLB,"Albania General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ALB_GGXONLB_NGDP,"Albania General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ALB_GGXWDN,"Albania General Government Net Debt, USD Billions"
ODA/ALB_GGXWDN_NGDP,"Albania General Government Net Debt, % of GDP"
ODA/ALB_GGXWDG,"Albania General Government Gross Debt, USD Billions"
ODA/DZA_NGDP_R,"Algeria GDP at Constant Prices, LCU Billions"
ODA/DZA_NGDP_RPCH,"Algeria GDP at Constant Prices, % change"
ODA/DZA_NGDP,"Algeria GDP at Current Prices, LCU Billions"
ODA/DZA_NGDPD,"Algeria GDP at Current Prices, USD Billions"
ODA/DZA_NGDP_D,Algeria GDP Deflator
ODA/DZA_NGDPRPC,"Algeria GDP per Capita at Constant Prices, LCU"
ODA/ALB_GGXWDG_NGDP,"Albania General Government Gross Debt, % of GDP"
ODA/ALB_NGDP_FY,"Albania GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ALB_BCA,"Albania Current Account Balance, USD Billions"
ODA/DZA_PPPGDP,"Algeria Country GDP based on PPP Valuation, USD Billions"
ODA/ALB_BCA_NGDPD,"Albania Current Account Balance, % of GDP"
ODA/DZA_PPPPC,"Algeria Per Capita GDP based on PPP Valuation, USD"
ODA/DZA_PPPEX,"Algeria Implied PPP Conversion Rate, LCU per USD"
ODA/DZA_NID_NGDP,"Algeria Total Investment, % of GDP"
ODA/DZA_NGDPPC,"Algeria GDP per Capita at Current Prices, LCU"
ODA/DZA_PCPIEPCH,"Algeria Inflation % change, End of Period Consumer Prices"
ODA/DZA_NGDPDPC,"Algeria GDP per Capita at Current Prices, USD"
ODA/DZA_PPPSH,"Algeria Share of World GDP based on PPP, %"
ODA/DZA_TX_RPCH,"Algeria Exports of Goods and services, % change"
ODA/DZA_TXG_RPCH,"Algeria Exports of Goods, % change"
ODA/DZA_LUR,"Algeria Unemployment Rate, % of Total Labor Force"
ODA/DZA_NGSD_NGDP,"Algeria Gross National Savings, % of GDP"
ODA/DZA_PCPI,"Algeria Inflation Index, Average Consumer Prices"
ODA/DZA_GGR,"Algeria General Government Revenue, USD Billions"
ODA/DZA_PCPIPCH,"Algeria Inflation % change, Average Consumer Prices"
ODA/DZA_PCPIE,"Algeria Inflation Index, End of Period Consumer Prices"
ODA/DZA_TM_RPCH,"Algeria Imports of Goods and services, % change"
ODA/DZA_TMG_RPCH,"Algeria Imports of Goods, % change"
ODA/DZA_GGXONLB,"Algeria General Government Primary Net Lending/Borrowing, USD Billions"
ODA/DZA_GGXONLB_NGDP,"Algeria General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/DZA_GGXWDN,"Algeria General Government Net Debt, USD Billions"
ODA/DZA_LP,"Algeria Population, Millions"
ODA/DZA_GGR_NGDP,"Algeria General Government Revenue, % of GDP"
ODA/DZA_GGX,"Algeria General Government Total Expenditure, USD Billions"
ODA/DZA_GGX_NGDP,"Algeria General Government Total Expenditure, % of GDP"
ODA/DZA_GGXCNL,"Algeria General Government Net Lending/Borrowing, USD Billions"
ODA/DZA_GGXCNL_NGDP,"Algeria General Government Net Lending/Borrowing, % of GDP"
ODA/DZA_GGXWDN_NGDP,"Algeria General Government Net Debt, % of GDP"
ODA/DZA_GGXWDG,"Algeria General Government Gross Debt, USD Billions"
ODA/DZA_GGXWDG_NGDP,"Algeria General Government Gross Debt, % of GDP"
ODA/DZA_NGDP_FY,"Algeria GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/AGO_NGDPPC,"Angola GDP per Capita at Current Prices, LCU"
ODA/DZA_BCA,"Algeria Current Account Balance, USD Billions"
ODA/AGO_NGDPDPC,"Angola GDP per Capita at Current Prices, USD"
ODA/AGO_PPPGDP,"Angola Country GDP based on PPP Valuation, USD Billions"
ODA/DZA_BCA_NGDPD,"Algeria Current Account Balance, % of GDP"
ODA/AGO_PPPPC,"Angola Per Capita GDP based on PPP Valuation, USD"
ODA/AGO_NGDP_R,"Angola GDP at Constant Prices, LCU Billions"
ODA/AGO_PPPSH,"Angola Share of World GDP based on PPP, %"
ODA/AGO_NGDP_RPCH,"Angola GDP at Constant Prices, % change"
ODA/AGO_NGDP,"Angola GDP at Current Prices, LCU Billions"
ODA/AGO_NID_NGDP,"Angola Total Investment, % of GDP"
ODA/AGO_NGDPD,"Angola GDP at Current Prices, USD Billions"
ODA/AGO_NGDP_D,Angola GDP Deflator
ODA/AGO_PCPIPCH,"Angola Inflation % change, Average Consumer Prices"
ODA/AGO_NGDPRPC,"Angola GDP per Capita at Constant Prices, LCU"
ODA/AGO_PCPIEPCH,"Angola Inflation % change, End of Period Consumer Prices"
ODA/AGO_TM_RPCH,"Angola Imports of Goods and services, % change"
ODA/AGO_TMG_RPCH,"Angola Imports of Goods, % change"
ODA/AGO_PPPEX,"Angola Implied PPP Conversion Rate, LCU per USD"
ODA/AGO_TXG_RPCH,"Angola Exports of Goods, % change"
ODA/AGO_LP,"Angola Population, Millions"
ODA/AGO_NGSD_NGDP,"Angola Gross National Savings, % of GDP"
ODA/AGO_GGR,"Angola General Government Revenue, USD Billions"
ODA/AGO_PCPI,"Angola Inflation Index, Average Consumer Prices"
ODA/AGO_GGR_NGDP,"Angola General Government Revenue, % of GDP"
ODA/AGO_GGX,"Angola General Government Total Expenditure, USD Billions"
ODA/AGO_PCPIE,"Angola Inflation Index, End of Period Consumer Prices"
ODA/AGO_GGX_NGDP,"Angola General Government Total Expenditure, % of GDP"
ODA/AGO_GGXCNL_NGDP,"Angola General Government Net Lending/Borrowing, % of GDP"
ODA/AGO_GGXWDG,"Angola General Government Gross Debt, USD Billions"
ODA/AGO_TX_RPCH,"Angola Exports of Goods and services, % change"
ODA/AGO_GGXWDG_NGDP,"Angola General Government Gross Debt, % of GDP"
ODA/ATG_NGDP_R,"Antigua and Barbuda GDP at Constant Prices, LCU Billions"
ODA/ATG_NGDP,"Antigua and Barbuda GDP at Current Prices, LCU Billions"
ODA/AGO_GGXCNL,"Angola General Government Net Lending/Borrowing, USD Billions"
ODA/ATG_NGDPD,"Antigua and Barbuda GDP at Current Prices, USD Billions"
ODA/ATG_NGDPRPC,"Antigua and Barbuda GDP per Capita at Constant Prices, LCU"
ODA/AGO_NGDP_FY,"Angola GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/AGO_BCA,"Angola Current Account Balance, USD Billions"
ODA/ATG_NGDPDPC,"Antigua and Barbuda GDP per Capita at Current Prices, USD"
ODA/AGO_BCA_NGDPD,"Angola Current Account Balance, % of GDP"
ODA/ATG_PPPGDP,"Antigua and Barbuda Country GDP based on PPP Valuation, USD Billions"
ODA/ATG_PPPPC,"Antigua and Barbuda Per Capita GDP based on PPP Valuation, USD"
ODA/ATG_NGDP_RPCH,"Antigua and Barbuda GDP at Constant Prices, % change"
ODA/ATG_PPPEX,"Antigua and Barbuda Implied PPP Conversion Rate, LCU per USD"
ODA/ATG_NID_NGDP,"Antigua and Barbuda Total Investment, % of GDP"
ODA/ATG_NGSD_NGDP,"Antigua and Barbuda Gross National Savings, % of GDP"
ODA/ATG_PCPI,"Antigua and Barbuda Inflation Index, Average Consumer Prices"
ODA/ATG_NGDP_D,Antigua and Barbuda GDP Deflator
ODA/ATG_NGDPPC,"Antigua and Barbuda GDP per Capita at Current Prices, LCU"
ODA/ATG_TM_RPCH,"Antigua and Barbuda Imports of Goods and services, % change"
ODA/ATG_TMG_RPCH,"Antigua and Barbuda Imports of Goods, % change"
ODA/ATG_TX_RPCH,"Antigua and Barbuda Exports of Goods and services, % change"
ODA/ATG_PPPSH,"Antigua and Barbuda Share of World GDP based on PPP, %"
ODA/ATG_GGR_NGDP,"Antigua and Barbuda General Government Revenue, % of GDP"
ODA/ATG_PCPIPCH,"Antigua and Barbuda Inflation % change, Average Consumer Prices"
ODA/ATG_GGX,"Antigua and Barbuda General Government Total Expenditure, USD Billions"
ODA/ATG_PCPIE,"Antigua and Barbuda Inflation Index, End of Period Consumer Prices"
ODA/ATG_GGX_NGDP,"Antigua and Barbuda General Government Total Expenditure, % of GDP"
ODA/ATG_PCPIEPCH,"Antigua and Barbuda Inflation % change, End of Period Consumer Prices"
ODA/ATG_GGXCNL_NGDP,"Antigua and Barbuda General Government Net Lending/Borrowing, % of GDP"
ODA/ATG_GGXONLB_NGDP,"Antigua and Barbuda General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ATG_TXG_RPCH,"Antigua and Barbuda Exports of Goods, % change"
ODA/ATG_GGXWDN,"Antigua and Barbuda General Government Net Debt, USD Billions"
ODA/ATG_LP,"Antigua and Barbuda Population, Millions"
ODA/ATG_GGXWDN_NGDP,"Antigua and Barbuda General Government Net Debt, % of GDP"
ODA/ATG_GGR,"Antigua and Barbuda General Government Revenue, USD Billions"
ODA/ATG_GGXWDG,"Antigua and Barbuda General Government Gross Debt, USD Billions"
ODA/ATG_GGXWDG_NGDP,"Antigua and Barbuda General Government Gross Debt, % of GDP"
ODA/ATG_NGDP_FY,"Antigua and Barbuda GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ATG_BCA,"Antigua and Barbuda Current Account Balance, USD Billions"
ODA/ATG_GGXCNL,"Antigua and Barbuda General Government Net Lending/Borrowing, USD Billions"
ODA/ATG_BCA_NGDPD,"Antigua and Barbuda Current Account Balance, % of GDP"
ODA/ARG_NGDP_R,"Argentina GDP at Constant Prices, LCU Billions"
ODA/ATG_GGXONLB,"Antigua and Barbuda General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ARG_NGDP_RPCH,"Argentina GDP at Constant Prices, % change"
ODA/ARG_NGDP,"Argentina GDP at Current Prices, LCU Billions"
ODA/ARG_NGDPD,"Argentina GDP at Current Prices, USD Billions"
ODA/ARG_PPPEX,"Argentina Implied PPP Conversion Rate, LCU per USD"
ODA/ARG_NID_NGDP,"Argentina Total Investment, % of GDP"
ODA/ARG_NGSD_NGDP,"Argentina Gross National Savings, % of GDP"
ODA/ARG_PCPI,"Argentina Inflation Index, Average Consumer Prices"
ODA/ARG_NGDP_D,Argentina GDP Deflator
ODA/ARG_NGDPRPC,"Argentina GDP per Capita at Constant Prices, LCU"
ODA/ARG_NGDPPC,"Argentina GDP per Capita at Current Prices, LCU"
ODA/ARG_NGDPDPC,"Argentina GDP per Capita at Current Prices, USD"
ODA/ARG_PPPGDP,"Argentina Country GDP based on PPP Valuation, USD Billions"
ODA/ARG_PPPPC,"Argentina Per Capita GDP based on PPP Valuation, USD"
ODA/ARG_TX_RPCH,"Argentina Exports of Goods and services, % change"
ODA/ARG_PPPSH,"Argentina Share of World GDP based on PPP, %"
ODA/ARG_TXG_RPCH,"Argentina Exports of Goods, % change"
ODA/ARG_PCPIPCH,"Argentina Inflation % change, Average Consumer Prices"
ODA/ARG_PCPIE,"Argentina Inflation Index, End of Period Consumer Prices"
ODA/ARG_PCPIEPCH,"Argentina Inflation % change, End of Period Consumer Prices"
ODA/ARG_GGX_NGDP,"Argentina General Government Total Expenditure, % of GDP"
ODA/ARG_TM_RPCH,"Argentina Imports of Goods and services, % change"
ODA/ARG_TMG_RPCH,"Argentina Imports of Goods, % change"
ODA/ARG_GGXCNL_NGDP,"Argentina General Government Net Lending/Borrowing, % of GDP"
ODA/ARG_GGSB,"Argentina General Government Structural Balance, USD Billions"
ODA/ARG_GGSB_NPGDP,"Argentina General Government Structural Balance, % of GDP"
ODA/ARG_LUR,"Argentina Unemployment Rate, % of Total Labor Force"
ODA/ARG_GGXONLB,"Argentina General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ARG_LP,"Argentina Population, Millions"
ODA/ARG_GGXONLB_NGDP,"Argentina General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ARG_GGR,"Argentina General Government Revenue, USD Billions"
ODA/ARG_GGXWDG,"Argentina General Government Gross Debt, USD Billions"
ODA/ARG_GGR_NGDP,"Argentina General Government Revenue, % of GDP"
ODA/ARG_GGX,"Argentina General Government Total Expenditure, USD Billions"
ODA/ARG_GGXCNL,"Argentina General Government Net Lending/Borrowing, USD Billions"
ODA/ARM_NGDP,"Armenia GDP at Current Prices, LCU Billions"
ODA/ARM_NGDPD,"Armenia GDP at Current Prices, USD Billions"
ODA/ARM_NGDP_D,Armenia GDP Deflator
ODA/ARM_NGDPRPC,"Armenia GDP per Capita at Constant Prices, LCU"
ODA/ARG_GGXWDG_NGDP,"Argentina General Government Gross Debt, % of GDP"
ODA/ARM_NGDPPC,"Armenia GDP per Capita at Current Prices, LCU"
ODA/ARG_NGDP_FY,"Argentina GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ARG_BCA,"Argentina Current Account Balance, USD Billions"
ODA/ARM_NGDPDPC,"Armenia GDP per Capita at Current Prices, USD"
ODA/ARM_PPPGDP,"Armenia Country GDP based on PPP Valuation, USD Billions"
ODA/ARG_BCA_NGDPD,"Argentina Current Account Balance, % of GDP"
ODA/ARM_NGDP_R,"Armenia GDP at Constant Prices, LCU Billions"
ODA/ARM_PPPSH,"Armenia Share of World GDP based on PPP, %"
ODA/ARM_PPPEX,"Armenia Implied PPP Conversion Rate, LCU per USD"
ODA/ARM_NGDP_RPCH,"Armenia GDP at Constant Prices, % change"
ODA/ARM_NID_NGDP,"Armenia Total Investment, % of GDP"
ODA/ARM_PCPI,"Armenia Inflation Index, Average Consumer Prices"
ODA/ARM_PCPIEPCH,"Armenia Inflation % change, End of Period Consumer Prices"
ODA/ARM_TM_RPCH,"Armenia Imports of Goods and services, % change"
ODA/ARM_TMG_RPCH,"Armenia Imports of Goods, % change"
ODA/ARM_PPPPC,"Armenia Per Capita GDP based on PPP Valuation, USD"
ODA/ARM_TX_RPCH,"Armenia Exports of Goods and services, % change"
ODA/ARM_NGSD_NGDP,"Armenia Gross National Savings, % of GDP"
ODA/ARM_PCPIPCH,"Armenia Inflation % change, Average Consumer Prices"
ODA/ARM_GGR_NGDP,"Armenia General Government Revenue, % of GDP"
ODA/ARM_PCPIE,"Armenia Inflation Index, End of Period Consumer Prices"
ODA/ARM_GGX,"Armenia General Government Total Expenditure, USD Billions"
ODA/ARM_GGX_NGDP,"Armenia General Government Total Expenditure, % of GDP"
ODA/ARM_TXG_RPCH,"Armenia Exports of Goods, % change"
ODA/ARM_LUR,"Armenia Unemployment Rate, % of Total Labor Force"
ODA/ARM_LP,"Armenia Population, Millions"
ODA/ARM_GGR,"Armenia General Government Revenue, USD Billions"
ODA/ARM_NGDP_FY,"Armenia GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/ARM_BCA,"Armenia Current Account Balance, USD Billions"
ODA/ARM_GGXCNL,"Armenia General Government Net Lending/Borrowing, USD Billions"
ODA/ARM_GGXCNL_NGDP,"Armenia General Government Net Lending/Borrowing, % of GDP"
ODA/ARM_GGXONLB,"Armenia General Government Primary Net Lending/Borrowing, USD Billions"
ODA/ARM_GGXONLB_NGDP,"Armenia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/ARM_GGXWDG,"Armenia General Government Gross Debt, USD Billions"
ODA/AUS_NGDP_D,Australia GDP Deflator
ODA/ARM_GGXWDG_NGDP,"Armenia General Government Gross Debt, % of GDP"
ODA/AUS_NGDPPC,"Australia GDP per Capita at Current Prices, LCU"
ODA/AUS_NGDPDPC,"Australia GDP per Capita at Current Prices, USD"
ODA/ARM_BCA_NGDPD,"Armenia Current Account Balance, % of GDP"
ODA/AUS_NGAP_NPGDP,"Australia Output Gap, % of potential GDP"
ODA/AUS_NGDP_R,"Australia GDP at Constant Prices, LCU Billions"
ODA/AUS_NGDP_RPCH,"Australia GDP at Constant Prices, % change"
ODA/AUS_NGDP,"Australia GDP at Current Prices, LCU Billions"
ODA/AUS_NGDPD,"Australia GDP at Current Prices, USD Billions"
ODA/AUS_NID_NGDP,"Australia Total Investment, % of GDP"
ODA/AUS_PCPI,"Australia Inflation Index, Average Consumer Prices"
ODA/AUS_NGDPRPC,"Australia GDP per Capita at Constant Prices, LCU"
ODA/AUS_PCPIPCH,"Australia Inflation % change, Average Consumer Prices"
ODA/AUS_PCPIE,"Australia Inflation Index, End of Period Consumer Prices"
ODA/AUS_PCPIEPCH,"Australia Inflation % change, End of Period Consumer Prices"
ODA/AUS_TM_RPCH,"Australia Imports of Goods and services, % change"
ODA/AUS_PPPGDP,"Australia Country GDP based on PPP Valuation, USD Billions"
ODA/AUS_PPPPC,"Australia Per Capita GDP based on PPP Valuation, USD"
ODA/AUS_PPPSH,"Australia Share of World GDP based on PPP, %"
ODA/AUS_PPPEX,"Australia Implied PPP Conversion Rate, LCU per USD"
ODA/AUS_LUR,"Australia Unemployment Rate, % of Total Labor Force"
ODA/AUS_NGSD_NGDP,"Australia Gross National Savings, % of GDP"
ODA/AUS_GGR,"Australia General Government Revenue, USD Billions"
ODA/AUS_GGR_NGDP,"Australia General Government Revenue, % of GDP"
ODA/AUS_GGX,"Australia General Government Total Expenditure, USD Billions"
ODA/AUS_GGX_NGDP,"Australia General Government Total Expenditure, % of GDP"
ODA/AUS_TMG_RPCH,"Australia Imports of Goods, % change"
ODA/AUS_TX_RPCH,"Australia Exports of Goods and services, % change"
ODA/AUS_TXG_RPCH,"Australia Exports of Goods, % change"
ODA/AUS_LE,"Australia Employment, Millions"
ODA/AUS_GGXONLB_NGDP,"Australia General Government Primary Net Lending/Borrowing, % of GDP Billions"
ODA/AUS_LP,"Australia Population, Millions"
ODA/AUS_GGXWDN,"Australia General Government Net Debt, USD Billions"
ODA/AUS_GGXWDN_NGDP,"Australia General Government Net Debt, % of GDP"
ODA/AUS_GGXWDG,"Australia General Government Gross Debt, USD Billions"
ODA/AUS_GGXCNL,"Australia General Government Net Lending/Borrowing, USD Billions"
ODA/AUS_GGXCNL_NGDP,"Australia General Government Net Lending/Borrowing, % of GDP"
ODA/AUS_GGSB,"Australia General Government Structural Balance, USD Billions"
ODA/AUS_GGSB_NPGDP,"Australia General Government Structural Balance, % of GDP"
ODA/AUS_GGXONLB,"Australia General Government Primary Net Lending/Borrowing, USD Billions"
ODA/AUT_NGDP,"Austria GDP at Current Prices, LCU Billions"
ODA/AUT_NGDPD,"Austria GDP at Current Prices, USD Billions"
ODA/AUT_NGDP_D,Austria GDP Deflator
ODA/AUS_GGXWDG_NGDP,"Australia General Government Gross Debt, % of GDP"
ODA/AUS_NGDP_FY,"Australia GDP Corresponding to Fiscal Year, Current Prices, LCU Billions"
ODA/AUT_NGDPPC,"Austria GDP per Capita at Current Prices, LCU"
ODA/AUS_BCA,"Australia Current Account Balance, USD Billions"
ODA/AUT_NGDPDPC,"Austria GDP per Capita at Current Prices, USD"
ODA/AUS_BCA_NGDPD,"Australia Current Account Balance, % of GDP"
ODA/AUT_NGAP_NPGDP,"Austria Output Gap, % of potential GDP"
ODA/AUT_NGDP_R,"Austria GDP at Constant Prices, LCU Billions"
ODA/AUT_PPPGDP,"Austria Country GDP based on PPP Valuation, USD Billions"
ODA/AUT_PPPPC,"Austria Per Capita GDP based on PPP Valuation, USD"
ODA/AUT_NGDP_RPCH,"Austria GDP at Constant Prices, % change"
ODA/AUT_PPPSH,"Austria Share of World GDP based on PPP, %"
ODA/AUT_NGDPRPC,"Austria GDP per Capita at Constant Prices, LCU"
ODA/AUT_PCPIPCH,"Austria Inflation % change, Average Consumer Prices"
ODA/AUT_PCPIE,"Austria Inflation Index, End of Period Consumer Prices"
ODA/AUT_PCPIEPCH,"Austria Inflation % change, End of Period Consumer Prices"
ODA/AUT_TM_RPCH,"Austria Imports of Goods and services, % change"
ODA/AUT_TMG_RPCH,"Austria Imports of Goods, % change"
ODA/AUT_PPPEX,"Austria Implied PPP Conversion Rate, LCU per USD"
ODA/AUT_NID_NGDP,"Austria Total Investment, % of GDP"
ODA/AUT_NGSD_NGDP,"Austria Gross National Savings, % of GDP"
ODA/AUT_PCPI,"Austria Inflation Index, Average Consumer Prices"
